wavelength_nm,n,k
210,1.60290015413806,6.43104062066412e-05
211,1.60175697420916,6.654072778456e-05
212,1.6006344694292,6.87377951615011e-05
213,1.5995320894018,7.08948485614456e-05
214,1.59844940655931,7.30054453431155e-05
215,1.59738586623099,7.50635224074571e-05
216,1.59634103685233,7.70634394186737e-05
217,1.59531442237604,7.89999939929635e-05
218,1.59430565028783,8.08684796132412e-05
219,1.59331422099768,8.26646829426548e-05
220,1.59233975869499,8.43849206119061e-05
221,1.59138185467866,8.60260464784625e-05
222,1.59044006729937,8.75854598441827e-05
223,1.58951411064258,8.906110036137e-05
224,1.58860350880308,9.0451471042208e-05
225,1.58770797328069,9.1755604624064e-05
226,1.5868271514705,9.29730723849381e-05
227,1.58596068956817,9.41039653163856e-05
228,1.58510826414265,9.51488792020891e-05
229,1.58426951912764,9.6108890251655e-05
230,1.58344422364862,9.6985535240468e-05
231,1.58263198803799,9.77808020873648e-05
232,1.58183261115128,9.8497074508003e-05
233,1.58104573299705,9.91371353725862e-05
234,1.58027108748496,9.97041238642741e-05
235,1.57950847102519,0.00010020150089197
236,1.57875755267457,0.000100633044648798
237,1.57801809565086,0.000101002790030183
238,1.57728986247447,0.000101315017847759
239,1.57657264669831,0.000101574225165589
240,1.57586614607974,0.000101785101633705
241,1.57517018458143,0.000101952481701075
242,1.57448455388441,0.000102081344165705
243,1.57380901333043,0.000102176759225083
244,1.57314335343408,0.000102243889433131
245,1.57248736416635,0.000102287947298868
246,1.57184089858617,0.0001023141658727
247,1.57120371386749,0.000102327800478324
248,1.5705756621291,0.00010233408007553
249,1.56995653139605,0.000102338189596399
250,1.56934617292507,0.000102345251771866
251,1.56874440571995,0.000102360307440741
252,1.56815108024812,0.000102388269530529
253,1.56756601471603,0.000102433909499363
254,1.5669890907427,0.000102501833113396
255,1.56642009388479,0.00010259643941898
256,1.56585893699011,0.000102721877480569
257,1.56530543683484,0.000102882023033707
258,1.56475947372929,0.000103080414026117
259,1.56422089574173,0.000103320215013816
260,1.56368961457631,0.000103604137902275
261,1.56316547774135,0.000103934383727044
262,1.56264833244115,0.00010431256774413
263,1.5621380895972,0.000104739616503377
264,1.5616346599222,0.000105215662033537
265,1.56113788986782,0.000105739944935056
266,1.56064765764152,0.000106310677998779
267,1.56016390531025,0.000106924884027454
268,1.55968651067228,0.00010757827868602
269,1.55921538336476,0.000108265071411929
270,1.55875036868517,0.000108977831814277
271,1.55829147210517,0.000109707287314774
272,1.55783850645613,0.000110442198678107
273,1.55739141270221,0.000111169192059099
274,1.55695013167265,0.000111872661630116
275,1.55651453981775,0.00011253472164441
276,1.55608454551788,0.000113135205543789
277,1.55566008913153,0.000113651784550569
278,1.55524107874301,0.000114060172078435
279,1.5548273579637,0.000114334491071008
280,1.55441893101515,0.000114447766865243
281,1.55401564119577,0.000114372610295426
282,1.55361739595523,0.000114082038598112
283,1.55322410259875,0.000113550452287178
284,1.55283563609083,0.000112754705929994
285,1.55245190343255,0.000111675231274528
286,1.55207281148967,0.000110297158083785
