material_id,true_thickness_nm,scenario,method,n,mean_AE_nm,median_AE_nm,q90_AE_nm,q95_AE_nm,max_AE_nm,boundary_count,non_ok_count,convergence_count
A,380.0,baseline_drift,E0,200,3.0573690413926777,2.8654795188482183,5.076646438040926,5.695781846066356,7.54877683041542,0,0,200
A,380.0,baseline_drift,E1,200,3.0468070775322036,2.847484270532817,5.04833216179573,5.7247332866920235,7.435507046448208,0,0,200
A,380.0,baseline_drift,E3,200,3.044719516818108,2.8450901675836633,5.048285671453772,5.726214810371622,7.427821039916694,0,0,200
A,380.0,gaussian,E0,200,0.2568085508210757,0.19909783869135816,0.5836863367911803,0.6483313522735439,0.8457098446961027,0,0,200
A,380.0,gaussian,E1,200,0.2692722311157692,0.2118718363043683,0.5800871550698388,0.6905378522971801,0.8837163212361929,0,0,200
A,380.0,gaussian,E3,200,0.2692923902639214,0.2122101030494718,0.5794607187011024,0.692985214211967,0.8862352230815418,0,0,200
A,380.0,impulsive,E0,200,0.7712529143719976,0.5577106510410204,1.7975537220199724,2.0368279880819347,3.449028953590414,0,0,200
A,380.0,impulsive,E1,200,0.1550546663031525,0.1204090012636243,0.3259447808790184,0.3889856664541011,0.903659152516127,0,0,200
A,380.0,impulsive,E3,200,0.14101257624221797,0.12676181784388516,0.2852453762764923,0.3317252342481622,0.4679666215662337,0,0,200
A,380.0,mixed,E0,200,5.066652255655023,3.038277967873171,5.898062058129637,6.8288413400161,193.64780037511912,0,0,200
A,380.0,mixed,E1,200,2.980457509736894,2.781109101778071,5.159410171669355,6.15458375305323,7.19782346459175,0,0,200
A,380.0,mixed,E3,200,2.990598871296503,2.8322709453654227,5.090528552851157,6.086617083132482,7.189814136976963,0,0,200
A,520.0,baseline_drift,E0,200,3.359173017083748,3.2716024619230097,4.867728332247361,5.392443302193532,7.475049737249378,0,0,200
A,520.0,baseline_drift,E1,200,3.508682907062721,3.431598836058356,5.100597875109361,5.596774861749263,7.8805702495264995,0,0,200
A,520.0,baseline_drift,E3,200,3.6618738518858795,3.5893282968286826,5.41608784794763,6.052990948898474,8.460616976532663,0,0,200
A,520.0,gaussian,E0,200,0.2095072381824053,0.17031005927043444,0.44785980158876554,0.5199587650846349,1.0501726475213218,0,0,200
A,520.0,gaussian,E1,200,0.2219080200566486,0.18848917935690673,0.4405847928620687,0.5230410982648658,1.0156657440926438,0,0,200
A,520.0,gaussian,E3,200,0.22222398795615272,0.1893238412033042,0.4405527722868214,0.5240967428904293,1.0130253281816977,0,0,200
