rule_id,scenario,accepted,improved,worsened,accepted_only_mean_delta_AE_nm,overall_mean_delta_AE_vs_E3_nm,ci95_low_nm,ci95_high_nm
V2,baseline_drift,200,137,63,-0.0210964249241354,-0.0023440472137929,-0.0034026320874999,-0.0012789041197214
V2,gaussian,158,58,100,0.0288095214590974,0.0025288357725206,0.0010189577968368,0.0040394152198701
V2,impulsive,38,3,35,0.0084057592154636,0.0001774549167709,-6.328408913974294e-05,0.000435525699989
V2,mixed,183,126,57,-0.0795031170624936,-0.0080828169013535,-0.0113903750466928,-0.0049185870918044
Frozen-Fine-q75,baseline_drift,200,137,63,-0.0210964249241354,-0.0023440472137929,-0.003407299970863,-0.0012924110011028
Frozen-Fine-q75,gaussian,101,42,59,0.0188653022754612,0.001058553072123,-0.0001526276650071,0.0023305824381968
Frozen-Fine-q75,impulsive,16,2,14,0.015285036787727,0.0001358669936687,-6.019192019961553e-05,0.0003467345535682
Frozen-Fine-q75,mixed,168,118,50,-0.087755927989937,-0.0081905532790608,-0.0113008184474995,-0.0051557656948466
