group,n,median_s,q90_s,q95_s,max_s
E0,7200,0.053257640451192856,0.07233386784791947,0.07926369570195674,0.1683652549982071
E1,7200,0.05994235724210739,0.07534406408667564,0.08111518658697603,0.18336856365203855
E3,7200,55.31884551793337,106.14138216227292,123.44951970018437,196.18334415555
E4_incremental_triggered:baseline_drift,1364,0.04482038319110865,0.07469991520047181,0.08706805258989332,0.2437470555305481
E4_incremental_triggered:gaussian,1242,0.06247636303305625,0.111984021961689,0.15693831518292423,0.4649598747491836
E4_incremental_triggered:impulsive,1726,0.0499689877033233,0.0954186990857124,0.19054355099797243,0.4006781652569771
E4_incremental_triggered:mixed,1322,0.04930725693702695,0.07528882324695582,0.09220995828509326,0.3786872625350952
