rule_id,tau_fine,accepted,improved,worsened,unchanged,improved_fraction_among_accepted,mean_delta_AE_vs_E3_nm,ci95_low_nm,ci95_high_nm,improved_fraction_wilson95_low,improved_fraction_wilson95_high
V2,,579,324,255,6621,0.5595854922279793,-0.0019301433564636,-0.0028602984477823,-0.001005166697556,0.5188878995637644,0.5994976390003809
Frozen-Fine-q75,435.9625211489095,485,299,186,6715,0.6164948453608248,-0.0023350451067654,-0.0032467668548132,-0.0014579481087902,0.5724659893798624,0.6586928003688773
