observation_id,scenario,tree_fine_energy_ratio,runtime_e4_seconds,inner_iterations,outer_nfev
stage28:A:380:mixed:185,mixed,193.26394127452875,0.0663065686821937,11,9
stage28:A:520:gaussian:006,gaussian,3184.9478926920606,0.0749251842498779,18,7
stage28:A:520:gaussian:008,gaussian,54.51111810146946,0.0438720509409904,14,7
stage28:A:520:gaussian:045,gaussian,253.8869577056425,0.0855669900774955,18,8
stage28:A:520:gaussian:050,gaussian,224.44671395313725,0.0620286092162132,13,7
stage28:A:520:gaussian:057,gaussian,293.73065475295505,0.1124988943338394,23,9
stage28:A:520:gaussian:092,gaussian,184.23682131212183,0.0412861108779907,13,7
stage28:A:520:gaussian:129,gaussian,104.72126965482312,0.0517201647162437,10,8
stage28:A:520:gaussian:143,gaussian,51.069329388391694,0.0590209662914276,12,8
stage28:A:520:gaussian:144,gaussian,161.33543871421608,0.0696305111050605,18,7
stage28:A:520:gaussian:146,gaussian,472.1139296599438,0.0596924573183059,16,6
stage28:A:520:gaussian:148,gaussian,708.7229139797386,0.0909241512417793,19,8
stage28:A:520:gaussian:150,gaussian,188.63953353940903,0.061413437128067,12,8
stage28:A:520:gaussian:151,gaussian,16.481565121072617,0.0989112928509712,23,8
stage28:A:520:gaussian:165,gaussian,668.5663385904057,0.0453504174947738,11,6
stage28:A:520:gaussian:177,gaussian,76.34001927731188,0.067947082221508,14,8
stage28:A:520:gaussian:180,gaussian,225.6250738910945,0.0623052045702934,15,7
stage28:A:520:impulsive:124,impulsive,309.9426386664058,0.052534133195877,12,7
stage28:A:520:baseline_drift:000,baseline_drift,77.0040948505542,0.055826686322689,13,7
stage28:A:520:baseline_drift:001,baseline_drift,103.4460090827875,0.0635501444339752,13,8
stage28:A:520:baseline_drift:009,baseline_drift,6.713488587885824,0.0557578429579734,12,7
stage28:A:520:baseline_drift:020,baseline_drift,6.385575713863419,0.0743939727544784,18,7
stage28:A:520:baseline_drift:033,baseline_drift,8.866836617564092,0.0507660508155822,10,8
stage28:A:520:baseline_drift:039,baseline_drift,65.9282118983754,0.0464817062020301,9,8
stage28:A:520:baseline_drift:043,baseline_drift,28.07705399743664,0.0493829995393753,10,7
stage28:A:520:baseline_drift:052,baseline_drift,6.134183858190951,0.0519301444292068,9,9
stage28:A:520:baseline_drift:056,baseline_drift,73.85075948082843,0.0460904315114021,10,7
stage28:A:520:baseline_drift:062,baseline_drift,4.839263690088079,0.0321762785315513,8,8
stage28:A:520:baseline_drift:078,baseline_drift,6.633197520195627,0.0624550506472587,11,8
stage28:A:520:baseline_drift:082,baseline_drift,26.25301119719911,0.0578766465187072,11,8
stage28:A:520:baseline_drift:087,baseline_drift,11.627371943452903,0.0493731126189231,9,8
stage28:A:520:baseline_drift:100,baseline_drift,76.75416556990085,0.050844520330429,11,7
