method,n,median_runtime_ms,mean_runtime_ms,q90_runtime_ms,q95_runtime_ms
E0,7200,53.257640451192856,57.06349271349609,72.33386784791946,79.26369570195673
E1,7200,59.94235724210739,60.99124752709435,75.34406408667564,81.11518658697604
E3,7200,55318.84551793337,61509.3207127425,106141.38216227292,123449.51970018438
